threshold,bad_right,bad_total,accuracy0,good_right,good_total,accuracy1,pre_true,total,accuracy
0.0,0,55,0.0,66,66,1.0,66,121,0.5454545454545454
0.10000000000000001,51,55,0.9272727272727272,63,66,0.9545454545454546,114,121,0.9421487603305785
0.20000000000000001,51,55,0.9272727272727272,60,66,0.9090909090909091,111,121,0.9173553719008265
0.30000000000000004,52,55,0.9454545454545454,60,66,0.9090909090909091,112,121,0.9256198347107438
0.40000000000000002,53,55,0.9636363636363636,58,66,0.8787878787878788,111,121,0.9173553719008265
0.5,53,55,0.9636363636363636,57,66,0.8636363636363636,110,121,0.9090909090909091
0.60000000000000009,53,55,0.9636363636363636,57,66,0.8636363636363636,110,121,0.9090909090909091
0.70000000000000007,54,55,0.9818181818181818,57,66,0.8636363636363636,111,121,0.9173553719008265
0.80000000000000004,54,55,0.9818181818181818,56,66,0.8484848484848485,110,121,0.9090909090909091
0.90000000000000002,54,55,0.9818181818181818,55,66,0.8333333333333334,109,121,0.9008264462809917
