threshold,bad_right,bad_total,accuracy0,good_right,good_total,accuracy1,pre_true,total,accuracy
0.0,0,55,0.0,66,66,1.0,66,121,0.5454545454545454
0.001,49,55,0.8909090909090909,60,66,0.9090909090909091,109,121,0.9008264462809917
0.002,50,55,0.9090909090909091,59,66,0.8939393939393939,109,121,0.9008264462809917
0.0030000000000000001,50,55,0.9090909090909091,58,66,0.8787878787878788,108,121,0.8925619834710744
0.0040000000000000001,51,55,0.9272727272727272,57,66,0.8636363636363636,108,121,0.8925619834710744
0.0050000000000000001,51,55,0.9272727272727272,56,66,0.8484848484848485,107,121,0.8842975206611571
0.0060000000000000001,52,55,0.9454545454545454,56,66,0.8484848484848485,108,121,0.8925619834710744
0.0070000000000000001,52,55,0.9454545454545454,55,66,0.8333333333333334,107,121,0.8842975206611571
0.0080000000000000002,53,55,0.9636363636363636,55,66,0.8333333333333334,108,121,0.8925619834710744
0.0090000000000000011,53,55,0.9636363636363636,55,66,0.8333333333333334,108,121,0.8925619834710744
